SeqA	SeqB	ANI	SD	N	Omega	Frx
GUT_GENOME067559	GUT_GENOME018608	92.786609007207	3.89192733115622	5527	7493	73.7621780328306
GUT_GENOME067559	GUT_GENOME018729	92.711443436238	3.80713425753999	5228	7493	69.7717870012011
GUT_GENOME067559	GUT_GENOME029117	78.4411139028094	4.95696780973328	866	7493	11.5574536233818
GUT_GENOME067559	GUT_GENOME066320	98.7023162388258	2.24845904681595	6551	7493	87.4282663819565
GUT_GENOME067559	GUT_GENOME067559	100.0	0.0	7493	7493	100.0
GUT_GENOME091220	GUT_GENOME011239	98.6708423123259	1.97418285398524	7202	8342	86.3342124190842
GUT_GENOME091220	GUT_GENOME011714	98.2892237126704	2.21686169675958	7248	8460	85.6737588652482
GUT_GENOME091220	GUT_GENOME012603	98.3592914469812	2.05378609600479	7319	8558	85.5223182986679
GUT_GENOME091220	GUT_GENOME014311	78.5253191066116	4.73988748700584	884	7871	11.2311015118791
GUT_GENOME091220	GUT_GENOME018608	98.4262569468083	2.25811301820559	6711	8587	78.1530220100151
GUT_GENOME091220	GUT_GENOME018729	98.1982485242381	2.21554589536854	6446	7706	83.649104593823
GUT_GENOME091220	GUT_GENOME029117	78.5115194649816	4.968144318979	881	7837	11.2415465101442
GUT_GENOME091220	GUT_GENOME066320	93.0761595243719	4.16783169249789	6764	8587	78.7702340747642
GUT_GENOME091220	GUT_GENOME067559	93.0819746903785	3.84737778579581	5807	7493	77.4989990657947
GUT_GENOME091220	GUT_GENOME091220	100.0	0.0	8587	8587	100.0
GUT_GENOME092268	GUT_GENOME011239	92.2211482201996	3.78023243607846	6434	8342	77.1277871014145
GUT_GENOME092268	GUT_GENOME011714	92.2566257050413	3.80331368905581	6645	8460	78.5460992907801
GUT_GENOME092268	GUT_GENOME012603	92.2745719229907	3.96311614604816	6860	8558	80.158915634494
GUT_GENOME092268	GUT_GENOME014311	78.3731281123121	4.72910781893885	857	7871	10.8880701308601
GUT_GENOME092268	GUT_GENOME018608	92.404808758484	3.92673855167147	6152	9027	68.1511022488091
GUT_GENOME092268	GUT_GENOME018729	92.3120334697606	3.78592557276205	5969	7706	77.4591227614846
GUT_GENOME092268	GUT_GENOME029117	78.3228849782914	4.8389978012732	930	7837	11.8667857598571
GUT_GENOME092268	GUT_GENOME066320	98.9366198015497	1.88322222559782	8106	9284	87.3115036622146
GUT_GENOME092268	GUT_GENOME067559	98.7960430752287	2.23581511580582	6736	7493	89.8972374215935
GUT_GENOME092268	GUT_GENOME091220	92.7403360679957	3.92526211885846	6788	8587	79.0497263304996
GUT_GENOME092268	GUT_GENOME092268	100.0	0.0	9284	9284	100.0
GUT_GENOME092376	GUT_GENOME011239	92.4640130505929	3.900425989242	6222	8342	74.5864301126828
GUT_GENOME092376	GUT_GENOME011714	92.3672537658488	3.89390559375264	6377	8460	75.3782505910166
GUT_GENOME092376	GUT_GENOME012603	92.4922556927887	3.90624312993885	6546	8558	76.4898340733816
GUT_GENOME092376	GUT_GENOME014311	78.6721432624218	4.66169123628361	903	7871	11.4724939651887
GUT_GENOME092376	GUT_GENOME018608	92.5738609997765	3.98264624804905	6207	8959	69.2822859694162
GUT_GENOME092376	GUT_GENOME018729	92.5394483596248	3.89078155407039	5812	7706	75.4217492862704
GUT_GENOME092376	GUT_GENOME029117	78.5904109310369	4.83523389306668	861	7837	10.9863468163838
GUT_GENOME092376	GUT_GENOME066320	98.716382818646	2.45280174777178	7784	8959	86.8846969527849
GUT_GENOME092376	GUT_GENOME067559	98.7332734228486	2.20945223460735	6447	7493	86.0403042839984
GUT_GENOME092376	GUT_GENOME091220	92.9419204691416	3.89741756452209	6519	8587	75.9170839641318
GUT_GENOME092376	GUT_GENOME092268	98.8270910777097	2.28631932849588	8047	8959	89.8202924433531
GUT_GENOME092376	GUT_GENOME092376	100.0	0.0	8959	8959	100.0
GUT_GENOME093513	GUT_GENOME011239	98.9343522483951	1.24308372659639	7431	8342	89.079357468233
GUT_GENOME093513	GUT_GENOME011714	98.6086116442052	1.40445733228963	7515	8460	88.8297872340426
GUT_GENOME093513	GUT_GENOME012603	98.665992502902	1.24174450998513	7605	8558	88.8642206122926
GUT_GENOME093513	GUT_GENOME014311	78.3742056779169	4.77026509050982	884	7871	11.2311015118791
GUT_GENOME093513	GUT_GENOME018608	98.6022093792858	2.01524839400766	6970	8671	80.3828854803368
GUT_GENOME093513	GUT_GENOME018729	98.450316246861	1.5485962811694	6634	7706	86.0887620036335
GUT_GENOME093513	GUT_GENOME029117	78.4929579142293	4.78806452737766	896	7837	11.4329462804645
GUT_GENOME093513	GUT_GENOME066320	92.6789774115291	4.13173475192879	6828	8671	78.7452427632338
GUT_GENOME093513	GUT_GENOME067559	92.7846365805737	3.84208326466275	5762	7493	76.8984385426398
GUT_GENOME093513	GUT_GENOME091220	98.9061853188403	2.07886253501055	7557	8587	88.0051240246885
GUT_GENOME093513	GUT_GENOME092268	92.2630766494524	3.86911974928353	6788	8671	78.2839349555991
GUT_GENOME093513	GUT_GENOME092376	92.3838585003433	4.01783155454424	6816	8671	78.6068504209434
GUT_GENOME093513	GUT_GENOME093513	100.0	0.0	8671	8671	100.0
GUT_GENOME094058	GUT_GENOME011239	92.4772317173985	3.91795365267277	6327	8342	75.845121074083
GUT_GENOME094058	GUT_GENOME011714	92.5015295833631	3.8269450601371	6693	8460	79.113475177305
GUT_GENOME094058	GUT_GENOME012603	92.5072828370276	4.02415377694953	6834	8558	79.8551063332554
GUT_GENOME094058	GUT_GENOME014311	78.5581641641546	4.74924460588652	899	7871	11.421674501334
GUT_GENOME094058	GUT_GENOME018608	92.52811518721	3.95850663783034	6220	9027	68.904397917359
GUT_GENOME094058	GUT_GENOME018729	92.4528129732266	3.91545665589274	6073	7706	78.80872047755
GUT_GENOME094058	GUT_GENOME029117	78.6337405043949	4.7301651845691	887	7837	11.3181064182723
GUT_GENOME094058	GUT_GENOME066320	98.7806659849753	2.08232041732411	7937	9117	87.0571459910058
GUT_GENOME094058	GUT_GENOME067559	98.7921030681846	2.19769501518469	6681	7493	89.1632190044041
GUT_GENOME094058	GUT_GENOME091220	92.9551883122645	3.93412064239059	6795	8587	79.1312449050891
GUT_GENOME094058	GUT_GENOME092268	98.900981128198	1.84958480964274	7982	9117	87.5507294066031
GUT_GENOME094058	GUT_GENOME092376	98.7912247702551	2.11128173444835	7765	8959	86.6726197120214
GUT_GENOME094058	GUT_GENOME093513	92.526590715044	4.03223804515688	6793	8671	78.3415984315535
GUT_GENOME094058	GUT_GENOME094058	100.0	0.0	9117	9117	100.0
GUT_GENOME103665	GUT_GENOME011239	92.4710005697358	3.62134389242837	4892	7505	65.1832111925383
GUT_GENOME103665	GUT_GENOME011714	92.4814915750187	3.68237356947937	4842	7505	64.5169886742172
GUT_GENOME103665	GUT_GENOME012603	92.5839862578341	3.74538985003754	4898	7505	65.2631578947368
GUT_GENOME103665	GUT_GENOME014311	78.7141149398524	4.78492285646154	821	7505	10.9393737508328
GUT_GENOME103665	GUT_GENOME018608	92.5984792417723	3.57640686422876	4686	7505	62.4383744170553
GUT_GENOME103665	GUT_GENOME018729	92.5500081549836	3.6200055697124	4472	7505	59.5869420386409
GUT_GENOME103665	GUT_GENOME029117	78.6380500313908	4.89502124161585	839	7505	11.1792138574284
GUT_GENOME103665	GUT_GENOME066320	98.8360468135062	1.91752574554647	5799	7505	77.2684876748834
GUT_GENOME103665	GUT_GENOME067559	98.9193332385813	1.91987267912587	5087	7493	67.8900306953156
GUT_GENOME103665	GUT_GENOME091220	92.8889091916919	3.56197966196492	5015	7505	66.8221185876083
GUT_GENOME103665	GUT_GENOME092268	98.9966033981523	1.67346758145777	5778	7505	76.9886742171885
GUT_GENOME103665	GUT_GENOME092376	98.9383655728411	1.69348292097687	5548	7505	73.9240506329114
GUT_GENOME103665	GUT_GENOME093513	92.5665161791615	3.66011204070046	4936	7505	65.7694870086609
GUT_GENOME103665	GUT_GENOME094058	98.7744807225347	1.95887470057949	5677	7505	75.6429047301799
GUT_GENOME103665	GUT_GENOME103665	100.0	0.0	7505	7505	100.0
GUT_GENOME104028	GUT_GENOME011239	92.582179775237	3.78789498111484	6215	8342	74.5025173819228
GUT_GENOME104028	GUT_GENOME011714	92.5712626288916	3.83511951548603	6509	8460	76.9385342789598
GUT_GENOME104028	GUT_GENOME012603	92.6804229454167	3.86932226296136	6722	8558	78.5463893433045
GUT_GENOME104028	GUT_GENOME014311	78.3145972459277	4.80198955324538	910	7871	11.5614280269343
GUT_GENOME104028	GUT_GENOME018608	92.7224319594026	3.88592438993351	6052	9027	67.0433145009416
GUT_GENOME104028	GUT_GENOME018729	92.5656892903335	3.84892113254069	5643	7706	73.2286529976642
GUT_GENOME104028	GUT_GENOME029117	78.191907288647	4.80716220991991	892	7837	11.3819063417124
GUT_GENOME104028	GUT_GENOME066320	98.8562985243147	2.18312373198012	7822	9028	86.6415595923793
GUT_GENOME104028	GUT_GENOME067559	98.8760565057219	1.9229116726976	6582	7493	87.8419858534632
GUT_GENOME104028	GUT_GENOME091220	93.0617742398264	3.92689414079032	6694	8587	77.9550483288692
GUT_GENOME104028	GUT_GENOME092268	98.8798678350256	1.96313415693072	7792	9028	86.3092600797519
GUT_GENOME104028	GUT_GENOME092376	98.7534314931049	2.1630870567266	7729	8959	86.2707891505748
GUT_GENOME104028	GUT_GENOME093513	92.6606428078924	3.88344002967662	6558	8671	75.6314150616999
GUT_GENOME104028	GUT_GENOME094058	98.8251712436325	2.22343691309608	7589	9028	84.0607000443066
GUT_GENOME104028	GUT_GENOME103665	98.9284933013849	1.69047951015567	5644	7505	75.2031978680879
GUT_GENOME104028	GUT_GENOME104028	100.0	0.0	9028	9028	100.0
GUT_GENOME104378	GUT_GENOME011239	92.4991291039457	3.89866781621686	6254	8342	74.9700311675857
GUT_GENOME104378	GUT_GENOME011714	92.5263442241277	3.86020809023657	6521	8460	77.080378250591
GUT_GENOME104378	GUT_GENOME012603	92.568224359268	3.90842254589031	6569	8558	76.7585884552466
GUT_GENOME104378	GUT_GENOME014311	78.2192002960804	4.72033483360008	897	7871	11.3962647694067
GUT_GENOME104378	GUT_GENOME018608	92.6266819923153	3.91986385377907	6034	8783	68.7008994648753
GUT_GENOME104378	GUT_GENOME018729	92.653219684091	3.86180004812134	5800	7706	75.2660264728783
GUT_GENOME104378	GUT_GENOME029117	78.2508897244233	4.83988279431143	891	7837	11.3691463570244
GUT_GENOME104378	GUT_GENOME066320	98.9085535083243	2.08545808564296	7815	8783	88.9787088694068
GUT_GENOME104378	GUT_GENOME067559	98.8447059275218	2.08040813586043	6387	7493	85.2395569197918
GUT_GENOME104378	GUT_GENOME091220	92.787430015639	3.86209588991292	6334	8587	73.762664492838
GUT_GENOME104378	GUT_GENOME092268	98.9495149424782	1.96563532723071	7847	8783	89.343049072071
GUT_GENOME104378	GUT_GENOME092376	98.9147543245004	1.82694941036211	7647	8783	87.0659228054196
GUT_GENOME104378	GUT_GENOME093513	92.7165854583732	3.82227912002184	6377	8671	73.5439972321532
GUT_GENOME104378	GUT_GENOME094058	98.8210643713924	2.03145711002534	7597	8783	86.4966412387567
GUT_GENOME104378	GUT_GENOME103665	98.93237247485	1.7128967470019	5564	7505	74.1372418387741
GUT_GENOME104378	GUT_GENOME104028	98.9004265223487	2.11440383828026	7625	8783	86.8154389160879
GUT_GENOME104378	GUT_GENOME104378	100.0	0.0	8783	8783	100.0
GUT_GENOME109037	GUT_GENOME011239	92.6078510401843	3.80895113405947	6025	8342	72.2248861184368
GUT_GENOME109037	GUT_GENOME011714	92.6100019155447	3.92991690749892	6110	8460	72.2222222222222
GUT_GENOME109037	GUT_GENOME012603	92.7623067839904	3.77150879722696	6096	8547	71.3232713232713
GUT_GENOME109037	GUT_GENOME014311	78.4668618976466	4.73047667056685	877	7871	11.1421674501334
GUT_GENOME109037	GUT_GENOME018608	92.7498550152145	3.85258378575439	5803	8547	67.8951678951679
GUT_GENOME109037	GUT_GENOME018729	92.661393938269	3.80364554103374	5486	7706	71.19127952245
GUT_GENOME109037	GUT_GENOME029117	78.5118480806673	4.8451640874154	903	7837	11.5222661732806
GUT_GENOME109037	GUT_GENOME066320	98.8043441275995	2.0443284786446	7251	8547	84.8367848367848
GUT_GENOME109037	GUT_GENOME067559	98.8843933679217	2.20003062663729	6182	7493	82.5036700920859
GUT_GENOME109037	GUT_GENOME091220	92.9832099352752	3.89632699068973	6399	8547	74.8683748683749
GUT_GENOME109037	GUT_GENOME092268	98.9319531520841	1.79804605901833	7090	8547	82.953082953083
GUT_GENOME109037	GUT_GENOME092376	98.8428625014522	2.00666096178955	6939	8547	81.1863811863812
GUT_GENOME109037	GUT_GENOME093513	92.7139139240376	3.72702353516586	6111	8547	71.4987714987715
GUT_GENOME109037	GUT_GENOME094058	98.8931205913577	1.93499206175942	7261	8547	84.9537849537849
GUT_GENOME109037	GUT_GENOME103665	98.9302804485639	1.78316836106404	5282	7505	70.379746835443
GUT_GENOME109037	GUT_GENOME104028	98.7562679954322	2.12668469824179	7097	8547	83.034983034983
GUT_GENOME109037	GUT_GENOME104378	98.863316096586	1.97793576784299	6990	8547	81.7830817830818
GUT_GENOME109037	GUT_GENOME109037	100.0	0.0	8547	8547	100.0
GUT_GENOME120881	GUT_GENOME011239	98.6839099867221	1.96483340339833	7164	8342	85.878686166387
GUT_GENOME120881	GUT_GENOME011714	98.3690775289253	2.05969799796253	7228	8460	85.4373522458629
GUT_GENOME120881	GUT_GENOME012603	98.3785007368433	2.02416617788604	7584	8558	88.6188361766768
GUT_GENOME120881	GUT_GENOME014311	78.1237394033697	4.8371418770977	845	7871	10.7356117392962
GUT_GENOME120881	GUT_GENOME018608	98.7917021777544	1.59760920057009	7116	8913	79.8384382362841
GUT_GENOME120881	GUT_GENOME018729	98.272305097281	1.96375312921856	6427	7706	83.4025434726187
GUT_GENOME120881	GUT_GENOME029117	78.2010900862006	4.92530844926904	845	7837	10.7821870613755
GUT_GENOME120881	GUT_GENOME066320	92.6165617532202	4.25382897625679	6646	8913	74.5652417816672
GUT_GENOME120881	GUT_GENOME067559	92.9065566065862	3.79742896836812	5762	7493	76.8984385426398
GUT_GENOME120881	GUT_GENOME091220	98.6518375762463	2.39172093965901	7571	8587	88.1681611738675
GUT_GENOME120881	GUT_GENOME092268	92.2924409355476	3.93437586789168	7149	8913	80.2086839447997
GUT_GENOME120881	GUT_GENOME092376	92.5992193631677	3.99031518769412	6545	8913	73.4320655222708
GUT_GENOME120881	GUT_GENOME093513	98.8984663995156	1.93785038987783	7728	8671	89.1246684350133
GUT_GENOME120881	GUT_GENOME094058	92.4823798697432	4.01685522152252	6618	8913	74.2510939077752
GUT_GENOME120881	GUT_GENOME103665	92.5223639670795	3.70140702916076	5004	7505	66.6755496335776
GUT_GENOME120881	GUT_GENOME104028	92.6232533515992	3.95631002489662	6702	8913	75.1935375294514
GUT_GENOME120881	GUT_GENOME104378	92.5855032142731	3.88383082835918	6635	8783	75.543663896163
GUT_GENOME120881	GUT_GENOME109037	92.6836980493309	3.77613499081505	6340	8547	74.1780741780742
GUT_GENOME120881	GUT_GENOME120881	100.0	0.0	8913	8913	100.0
GUT_GENOME130816	GUT_GENOME011239	98.3431408606415	2.7691767156364	6855	8342	82.1745384799808
GUT_GENOME130816	GUT_GENOME011714	97.9909272613737	2.81863500041499	7127	8460	84.2434988179669
GUT_GENOME130816	GUT_GENOME012603	98.123160268334	2.81881863276492	7224	8558	84.4122458518345
GUT_GENOME130816	GUT_GENOME014311	78.3433953634812	4.82054693659701	875	7871	11.1167577182061
GUT_GENOME130816	GUT_GENOME018608	98.1173274102866	2.92606671884078	6668	8712	76.5381083562902
GUT_GENOME130816	GUT_GENOME018729	97.9212662283178	3.00411626340458	6428	7706	83.4155203737348
GUT_GENOME130816	GUT_GENOME029117	78.5067415668274	4.94842466151558	840	7837	10.7183871379354
GUT_GENOME130816	GUT_GENOME066320	93.4616332489448	4.00948560594338	6941	8712	79.6717171717172
GUT_GENOME130816	GUT_GENOME067559	93.6651810013262	3.86846837027211	6001	7493	80.0880822100627
GUT_GENOME130816	GUT_GENOME091220	98.626241410434	2.1968634569856	7309	8587	85.1170373820892
GUT_GENOME130816	GUT_GENOME092268	93.1354939009802	3.85897758556378	6780	8712	77.8236914600551
GUT_GENOME130816	GUT_GENOME092376	93.2228561242381	3.82466755112138	6800	8712	78.0532598714417
GUT_GENOME130816	GUT_GENOME093513	98.3805948750156	2.93160125750615	7425	8671	85.6302617921808
GUT_GENOME130816	GUT_GENOME094058	93.3934455711213	3.8916782623423	6857	8712	78.7075298438935
GUT_GENOME130816	GUT_GENOME103665	93.334445492124	3.70910216731563	5177	7505	68.9806795469687
GUT_GENOME130816	GUT_GENOME104028	93.3433483603723	3.86740078638012	6919	8712	79.4191919191919
GUT_GENOME130816	GUT_GENOME104378	93.2368126193514	3.84182314011374	6535	8712	75.0114784205693
GUT_GENOME130816	GUT_GENOME109037	93.2444559777197	3.83255303272205	6220	8547	72.7740727740728
GUT_GENOME130816	GUT_GENOME120881	98.4132427569103	2.96797100273818	7370	8712	84.5959595959596
GUT_GENOME130816	GUT_GENOME130816	100.0	0.0	8712	8712	100.0
GUT_GENOME132204	GUT_GENOME011239	79.0584054157297	4.48395561984071	1337	8342	16.0273315751618
GUT_GENOME132204	GUT_GENOME011714	79.139058598286	4.57982548321493	1365	8460	16.1347517730496
GUT_GENOME132204	GUT_GENOME012603	79.0754778431553	4.54317901996136	1342	8558	15.681233933162
GUT_GENOME132204	GUT_GENOME014311	77.8460411329111	4.54444258728234	791	7871	10.0495489772583
GUT_GENOME132204	GUT_GENOME018608	78.9839099022249	4.57558509712957	1288	9027	14.2683061925335
GUT_GENOME132204	GUT_GENOME018729	78.9158826122259	4.9123861594319	1250	7706	16.2211263950169
GUT_GENOME132204	GUT_GENOME029117	77.9220298768101	4.86439140784207	787	7837	10.0421079494705
GUT_GENOME132204	GUT_GENOME066320	79.2410056010528	4.47650596155584	1486	9411	15.7900329401764
GUT_GENOME132204	GUT_GENOME067559	79.1658565338109	4.45683228081703	1399	7493	18.6707593754171
GUT_GENOME132204	GUT_GENOME091220	78.9910713804171	4.57551429764295	1441	8587	16.7811808547805
GUT_GENOME132204	GUT_GENOME092268	79.0481369772842	4.4612794559267	1439	9284	15.499784575614
GUT_GENOME132204	GUT_GENOME092376	79.1542991918957	4.5341693570749	1500	8959	16.7429400602746
GUT_GENOME132204	GUT_GENOME093513	79.0728064250312	4.56275832721353	1346	8671	15.5230077269058
GUT_GENOME132204	GUT_GENOME094058	79.0767925542691	4.44031860524982	1468	9117	16.1017878688165
GUT_GENOME132204	GUT_GENOME103665	79.4906667080916	4.57881172999896	1247	7505	16.6155896069287
GUT_GENOME132204	GUT_GENOME104028	79.0764695141099	4.40109362205397	1543	9028	17.0912715994683
GUT_GENOME132204	GUT_GENOME104378	79.1802176247256	4.43196319534387	1457	8783	16.5888648525561
GUT_GENOME132204	GUT_GENOME109037	79.0378207011724	4.5795852639979	1435	8547	16.7895167895168
GUT_GENOME132204	GUT_GENOME120881	79.0179100120661	4.56004702741091	1355	8913	15.2025131829911
GUT_GENOME132204	GUT_GENOME130816	78.9133248593103	4.52658140508184	1387	8712	15.9205693296602
GUT_GENOME132204	GUT_GENOME132204	100.0	0.0	10147	10147	100.0
GUT_GENOME132205	GUT_GENOME011239	98.3173830860913	2.99955466416766	6943	8342	83.2294413809638
GUT_GENOME132205	GUT_GENOME011714	97.993311864615	3.04018247397184	7231	8460	85.4728132387707
GUT_GENOME132205	GUT_GENOME012603	98.0287510403325	2.98885990466341	7430	8558	86.8193503154943
GUT_GENOME132205	GUT_GENOME014311	78.5689382603041	4.73025964130016	884	7871	11.2311015118791
GUT_GENOME132205	GUT_GENOME018608	98.3243346234272	2.81106742397999	6645	8609	77.1866651178999
GUT_GENOME132205	GUT_GENOME018729	97.9491000987068	2.86949290945322	6361	7706	82.5460679989618
GUT_GENOME132205	GUT_GENOME029117	78.7071914096807	5.23686203340576	875	7837	11.1649866020161
GUT_GENOME132205	GUT_GENOME066320	93.483075859993	4.03694804930898	6908	8609	80.2416076199326
GUT_GENOME132205	GUT_GENOME067559	93.3598348585984	3.75563187016602	5722	7493	76.3646069665021
GUT_GENOME132205	GUT_GENOME091220	98.7872873358778	2.18656439872466	7471	8587	87.0036101083032
GUT_GENOME132205	GUT_GENOME092268	93.1129265575283	3.92436102072124	6913	8609	80.2996863747241
GUT_GENOME132205	GUT_GENOME092376	93.1969725718002	3.87807654110854	6833	8609	79.3704262980602
GUT_GENOME132205	GUT_GENOME093513	98.5998622505662	3.01342180986976	7591	8609	88.1751655244512
GUT_GENOME132205	GUT_GENOME094058	93.185466878681	3.97650617828082	6686	8609	77.6629109071902
GUT_GENOME132205	GUT_GENOME103665	93.1713891903689	3.65265868063555	5053	7505	67.3284477015323
GUT_GENOME132205	GUT_GENOME104028	93.3010921193361	3.91248301284312	6530	8609	75.8508537576954
GUT_GENOME132205	GUT_GENOME104378	93.1475148670696	3.92122301217747	6689	8609	77.697758160065
GUT_GENOME132205	GUT_GENOME109037	93.1447420763741	3.83346245590339	6026	8547	70.5042705042705
GUT_GENOME132205	GUT_GENOME120881	98.5847202929162	2.94970474553747	7289	8609	84.6672087350447
GUT_GENOME132205	GUT_GENOME130816	98.6175464612407	2.13680556896824	7366	8609	85.5616215588338
GUT_GENOME132205	GUT_GENOME132204	79.154097742201	4.83352694597328	1391	8609	16.1575095829945
GUT_GENOME132205	GUT_GENOME132205	100.0	0.0	8579	8609	99.651527471251
GUT_GENOME132206	GUT_GENOME018729	74.8498283691417	5.9573676196144	54	7706	0.700752660264729
GUT_GENOME132206	GUT_GENOME029117	75.0863588910799	5.49576034648314	60	7837	0.765599081281102
GUT_GENOME132206	GUT_GENOME066320	72.4442727608976	3.21807189201737	53	8833	0.600022642363863
GUT_GENOME132206	GUT_GENOME067559	72.393713026331	3.99471841308284	50	7493	0.667289470172161
GUT_GENOME132206	GUT_GENOME092268	72.5552720102076	3.29272475192819	60	8833	0.679270915883618
GUT_GENOME132206	GUT_GENOME092376	72.1767382411969	3.35747704270777	53	8833	0.600022642363863
GUT_GENOME132206	GUT_GENOME094058	72.2018327340216	3.48523986940782	55	8833	0.62266500622665
GUT_GENOME132206	GUT_GENOME103665	73.1201633884038	4.89293341848881	56	7505	0.746169220519654
GUT_GENOME132206	GUT_GENOME104028	72.5770272270198	3.31231199294456	58	8833	0.656628552020831
GUT_GENOME132206	GUT_GENOME104378	72.1517444239932	3.52994379149066	53	8783	0.603438460662644
GUT_GENOME132206	GUT_GENOME109037	72.441575632689	3.55017169013173	51	8547	0.596700596700597
GUT_GENOME132206	GUT_GENOME130816	72.5800535331671	3.59444214774407	53	8712	0.608356290174472
GUT_GENOME132206	GUT_GENOME132204	74.1192188509785	5.21843219437711	56	8833	0.633986188158044
GUT_GENOME132206	GUT_GENOME132205	75.0040802039898	5.91221448057658	57	8609	0.662097804623069
GUT_GENOME132206	GUT_GENOME132206	100.0	0.0	8833	8833	100.0
GUT_GENOME137479	GUT_GENOME011239	98.3630999000632	2.74457391098898	7163	8342	85.8666986334212
GUT_GENOME137479	GUT_GENOME011714	97.9061481953008	3.00391409062043	7406	8460	87.5413711583924
GUT_GENOME137479	GUT_GENOME012603	98.1687021919446	2.80477522422692	7390	8558	86.3519513905118
GUT_GENOME137479	GUT_GENOME014311	78.5450482230129	4.7261736718953	876	7871	11.1294625841697
GUT_GENOME137479	GUT_GENOME018608	98.2231099259906	2.85540119082107	6801	8846	76.8822066470721
GUT_GENOME137479	GUT_GENOME018729	98.0680956330988	2.71838209217309	6482	7706	84.1162730339995
GUT_GENOME137479	GUT_GENOME029117	78.6061098164102	4.83183061733608	880	7837	11.2287865254562
